x1,x2,y1,y2
100,0.1,0.377403495026788,4.9679
150,0.1,5.62646711364156,6.5352
200,0.1,7.92924966338026,6.9955
250,0.1,8.58164914662346,7.4224
300,0.1,10.4089548491311,7.9522
350,0.1,11.383431402552,8.3144
400,0.1,11.5469944119461,8.4277
500,0.1,12.4821691669893,8.8425
550,0.1,12.8914763333744,9.0335
600,0.1,13.2142055258554,9.0858
650,0.1,13.537488466683,9.3211
700,0.1,13.9108189174867,9.5361
800,0.1,14.7031101399371,9.5416
900,0.1,15.101363166809,8.9842
100,0.3,6.824186215255,6.86612408622143
150,0.3,9.00541832969846,8.34827596662857
200,0.3,10.1187686297023,9.63706036698246
250,0.3,10.8602363372093,10.2994536362394
300,0.3,11.3773886336425,10.863946282364
350,0.3,12.0820401146322,11.6475753569435
400,0.3,12.2905616337659,11.8511765388767
500,0.3,12.9559480419935,12.5483911343881
550,0.3,13.2732548733228,12.9755354611761
600,0.3,13.6030769720689,13.345181027336
650,0.3,14.0543795865371,13.9293705928768
700,0.3,14.3640107323294,14.2265625373851
800,0.3,14.5109907077798,14.4922104174869
900,0.3,3.45206699196332,14.3910108233345
100,0.5,7.03557002952013,6.86612408622143
150,0.5,8.10956963545846,8.34827596662857
200,0.5,9.34781087993274,9.63706036698246
250,0.5,10.3103550723932,10.2994536362394
300,0.5,10.8857709385607,10.863946282364
350,0.5,11.6302439900537,11.6475753569435
400,0.5,11.7509597668981,11.8511765388767
500,0.5,12.2112939155997,12.5483911343881
550,0.5,12.5285062519675,12.9755354611761
600,0.5,12.6782488525094,13.345181027336
650,0.5,13.0678180495031,13.9293705928768
700,0.5,13.1510286835387,14.2265625373851
800,0.5,13.1276363969501,14.4922104174869
900,0.5,12.9837223862654,12.9837223862654
